# Run number  7 on Fri 2026-05-15T12:05:04 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.6689E-01    4.4601E+01    5.1373E+01    2.0284E+01    1.4306E+01    1.3509E+01    6.6867E+01    4.6885E+01    1.3054E+01    4.1048E+00    1.5445E+01    6.2313E+00    8.8938E+00   
 9.9232E-01    4.4591E+01    5.1372E+01    2.0217E+01    1.4170E+01    1.3621E+01    6.6872E+01    4.6941E+01    1.3125E+01    4.1048E+00    1.5445E+01    6.3317E+00    8.8938E+00   
 1.4925E+00    4.4591E+01    5.1358E+01    2.0217E+01    1.4158E+01    1.3728E+01    6.6895E+01    4.7030E+01    1.3142E+01    4.0844E+00    1.5424E+01    6.2366E+00    8.8938E+00   
 1.9927E+00    4.4590E+01    5.1347E+01    2.0204E+01    1.4407E+01    1.3837E+01    6.6895E+01    4.7030E+01    1.3165E+01    4.1048E+00    1.5465E+01    6.4427E+00    8.9411E+00   
 2.5289E+00    4.4605E+01    5.1342E+01    2.0203E+01    1.4407E+01    1.3927E+01    6.6920E+01    4.7077E+01    1.3199E+01    4.1048E+00    1.5526E+01    6.2630E+00    8.9174E+00   
 3.0292E+00    4.4591E+01    5.1342E+01    2.0106E+01    1.4305E+01    1.4017E+01    6.6958E+01    4.7132E+01    1.3202E+01    4.1251E+00    1.5363E+01    6.3687E+00    8.9174E+00   
 3.5295E+00    4.4612E+01    5.1334E+01    2.0016E+01    1.4232E+01    1.4017E+01    6.6985E+01    4.7182E+01    1.3202E+01    4.1048E+00    1.5465E+01    6.2313E+00    8.9174E+00   
 4.0297E+00    4.4612E+01    5.1317E+01    2.0016E+01    1.4327E+01    1.4120E+01    6.7020E+01    4.7242E+01    1.3222E+01    4.1048E+00    1.5261E+01    6.2313E+00    8.9411E+00   
 4.6580E+00    4.4597E+01    5.1318E+01    1.9972E+01    1.4199E+01    1.4233E+01    6.7064E+01    4.7307E+01    1.3231E+01    4.1251E+00    1.5445E+01    6.3106E+00    8.8700E+00   
 5.1585E+00    4.4606E+01    5.1321E+01    2.0104E+01    1.4234E+01    1.4326E+01    6.7064E+01    4.7307E+01    1.3212E+01    4.1251E+00    1.5322E+01    6.2260E+00    8.9174E+00   
 5.6587E+00    4.4603E+01    5.1326E+01    2.0022E+01    1.4234E+01    1.4400E+01    6.7090E+01    4.7354E+01    1.3223E+01    4.1251E+00    1.5363E+01    6.2419E+00    8.8938E+00   
 6.1590E+00    4.4600E+01    5.1326E+01    1.9941E+01    1.4357E+01    1.4502E+01    6.7139E+01    4.7424E+01    1.3260E+01    4.1455E+00    1.5445E+01    6.2366E+00    8.9174E+00   
 6.7375E+00    4.4604E+01    5.1309E+01    1.9971E+01    1.4319E+01    1.4518E+01    6.7189E+01    4.7457E+01    1.3275E+01    4.1455E+00    1.5281E+01    6.3159E+00    8.9411E+00   
 7.2378E+00    4.4618E+01    5.1327E+01    1.9986E+01    1.4375E+01    1.4607E+01    6.7215E+01    4.7515E+01    1.3292E+01    4.1659E+00    1.5383E+01    6.2419E+00    8.8938E+00   
 7.7380E+00    4.4618E+01    5.1305E+01    2.0011E+01    1.4398E+01    1.4677E+01    6.7254E+01    4.7576E+01    1.3275E+01    4.1251E+00    1.5404E+01    6.3529E+00    8.9174E+00   
 8.2382E+00    4.4635E+01    5.1352E+01    1.9966E+01    1.4442E+01    1.4753E+01    6.7254E+01    4.7576E+01    1.3319E+01    4.1455E+00    1.5445E+01    6.3740E+00    8.9174E+00   
 8.8258E+00    4.4645E+01    5.1330E+01    2.0024E+01    1.4442E+01    1.4820E+01    6.7292E+01    4.7638E+01    1.3316E+01    4.1659E+00    1.5343E+01    6.3423E+00    8.8938E+00   
 9.3260E+00    4.4645E+01    5.1330E+01    1.9854E+01    1.4503E+01    1.4908E+01    6.7328E+01    4.7686E+01    1.3371E+01    4.1659E+00    1.5343E+01    6.3264E+00    8.8938E+00   
 9.8263E+00    4.4651E+01    5.1345E+01    1.9814E+01    1.4458E+01    1.4924E+01    6.7370E+01    4.7750E+01    1.3387E+01    4.1455E+00    1.5281E+01    6.2313E+00    8.9174E+00   
 1.0327E+01    4.4679E+01    5.1349E+01    1.9814E+01    1.4485E+01    1.4995E+01    6.7359E+01    4.7790E+01    1.3398E+01    4.1455E+00    1.5322E+01    6.3106E+00    8.9174E+00   
 1.0922E+01    4.4679E+01    5.1341E+01    1.9811E+01    1.4474E+01    1.5075E+01    6.7404E+01    4.7834E+01    1.3407E+01    4.1455E+00    1.5363E+01    6.4374E+00    8.8938E+00   
 1.1423E+01    4.4657E+01    5.1339E+01    1.9965E+01    1.4495E+01    1.5140E+01    6.7404E+01    4.7834E+01    1.3395E+01    4.1455E+00    1.5445E+01    6.3582E+00    8.9411E+00   
 1.1923E+01    4.4655E+01    5.1337E+01    2.0049E+01    1.4495E+01    1.5225E+01    6.7416E+01    4.7888E+01    1.3466E+01    4.1251E+00    1.5424E+01    6.3476E+00    8.9174E+00   
 1.2423E+01    4.4650E+01    5.1337E+01    2.0117E+01    1.4439E+01    1.5225E+01    6.7444E+01    4.7938E+01    1.3474E+01    4.1251E+00    1.5465E+01    6.2472E+00    8.9411E+00   
 1.3035E+01    4.4649E+01    5.1338E+01    2.0096E+01    1.4493E+01    1.5296E+01    6.7480E+01    4.8011E+01    1.3490E+01    4.1863E+00    1.5506E+01    6.2630E+00    8.9411E+00   
 1.3535E+01    4.4664E+01    5.1337E+01    2.0096E+01    1.4594E+01    1.5369E+01    6.7494E+01    4.8066E+01    1.3481E+01    4.2066E+00    1.5383E+01    6.2366E+00    8.9174E+00   
 1.4036E+01    4.4664E+01    5.1336E+01    2.0118E+01    1.4587E+01    1.5422E+01    6.7532E+01    4.8120E+01    1.3486E+01    4.1863E+00    1.5485E+01    6.2472E+00    8.8938E+00   
