# Run number  1 on Mon 2026-05-25T11:05:42 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.7121E-01    5.0255E+01    5.8829E+01    2.3478E+01    1.9384E+01    1.7846E+01    7.6048E+01    5.6574E+01    1.8554E+01    4.9604E+00    1.8667E+01    7.3624E+00    1.0463E+01   
 7.8990E-01    5.0256E+01    5.8848E+01    2.3478E+01    1.9271E+01    1.7698E+01    7.6048E+01    5.6515E+01    1.8520E+01    4.9604E+00    1.8647E+01    7.2778E+00    1.0463E+01   
 1.3215E+00    5.0274E+01    5.8863E+01    2.3479E+01    1.9269E+01    1.7567E+01    7.6088E+01    5.6460E+01    1.8501E+01    4.9604E+00    1.8708E+01    7.5368E+00    1.0423E+01   
 1.8217E+00    5.0276E+01    5.8875E+01    2.3532E+01    1.9195E+01    1.7567E+01    7.6086E+01    5.6404E+01    1.8501E+01    4.9604E+00    1.8810E+01    7.3042E+00    1.0423E+01   
 2.3219E+00    5.0291E+01    5.8920E+01    2.3551E+01    1.9211E+01    1.7455E+01    7.6075E+01    5.6350E+01    1.8476E+01    4.9400E+00    1.8749E+01    7.2831E+00    1.0463E+01   
 2.8221E+00    5.0294E+01    5.8929E+01    2.3557E+01    1.9202E+01    1.7343E+01    7.6074E+01    5.6350E+01    1.8452E+01    4.9196E+00    1.8565E+01    7.2778E+00    1.0443E+01   
 3.3224E+00    5.0293E+01    5.8958E+01    2.3557E+01    1.9208E+01    1.7210E+01    7.6074E+01    5.6300E+01    1.8406E+01    4.9400E+00    1.8606E+01    7.2725E+00    1.0463E+01   
 3.8227E+00    5.0284E+01    5.8958E+01    2.3613E+01    1.9227E+01    1.7112E+01    7.6055E+01    5.6249E+01    1.8349E+01    4.9400E+00    1.8606E+01    7.4205E+00    1.0484E+01   
 4.3229E+00    5.0282E+01    5.8969E+01    2.3689E+01    1.9153E+01    1.7128E+01    7.6052E+01    5.6212E+01    1.8364E+01    4.9400E+00    1.8769E+01    7.2831E+00    1.0504E+01   
 4.8232E+00    5.0282E+01    5.8991E+01    2.3906E+01    1.9153E+01    1.7022E+01    7.6018E+01    5.6156E+01    1.8326E+01    4.9196E+00    1.8728E+01    7.3941E+00    1.0423E+01   
 5.3235E+00    5.0283E+01    5.9007E+01    2.3889E+01    1.9188E+01    1.6931E+01    7.6043E+01    5.6156E+01    1.8290E+01    4.9400E+00    1.8851E+01    7.4892E+00    1.0443E+01   
 5.8247E+00    5.0296E+01    5.9028E+01    2.3889E+01    1.9143E+01    1.6837E+01    7.6043E+01    5.6080E+01    1.8232E+01    4.9400E+00    1.8749E+01    7.2884E+00    1.0463E+01   
 6.3254E+00    5.0295E+01    5.9028E+01    2.3752E+01    1.9179E+01    1.6736E+01    7.6037E+01    5.5988E+01    1.8216E+01    4.9196E+00    1.8810E+01    7.2884E+00    1.0443E+01   
 6.8286E+00    5.0293E+01    5.9034E+01    2.3695E+01    1.9197E+01    1.6736E+01    7.6050E+01    5.5931E+01    1.8180E+01    4.8789E+00    1.8790E+01    7.2884E+00    1.0443E+01   
 7.3290E+00    5.0293E+01    5.9052E+01    2.3667E+01    1.9197E+01    1.6644E+01    7.6085E+01    5.5851E+01    1.8135E+01    4.9196E+00    1.8769E+01    7.5579E+00    1.0463E+01   
 7.8293E+00    5.0275E+01    5.9064E+01    2.3606E+01    1.9099E+01    1.6562E+01    7.6148E+01    5.5851E+01    1.8120E+01    4.8993E+00    1.8790E+01    7.4258E+00    1.0463E+01   
 8.3295E+00    5.0276E+01    5.9075E+01    2.3606E+01    1.9137E+01    1.6475E+01    7.6133E+01    5.5750E+01    1.8076E+01    4.8789E+00    1.8626E+01    7.4522E+00    1.0423E+01   
 8.8575E+00    5.0293E+01    5.9075E+01    2.3565E+01    1.9052E+01    1.6401E+01    7.6149E+01    5.5671E+01    1.8076E+01    4.8993E+00    1.8688E+01    7.3994E+00    1.0484E+01   
 9.3578E+00    5.0296E+01    5.9075E+01    2.3589E+01    1.9034E+01    1.6385E+01    7.6176E+01    5.5595E+01    1.7995E+01    4.8789E+00    1.8647E+01    7.3677E+00    1.0504E+01   
 9.8581E+00    5.0296E+01    5.9103E+01    2.3535E+01    1.9034E+01    1.6317E+01    7.6213E+01    5.5510E+01    1.7953E+01    4.8993E+00    1.8667E+01    7.5209E+00    1.0463E+01   
 1.0358E+01    5.0296E+01    5.9099E+01    2.3542E+01    1.8994E+01    1.6244E+01    7.6214E+01    5.5510E+01    1.7926E+01    4.8585E+00    1.8871E+01    7.2990E+00    1.0524E+01   
 1.0954E+01    5.0291E+01    5.9103E+01    2.3523E+01    1.8982E+01    1.6174E+01    7.6214E+01    5.5431E+01    1.7852E+01    4.8585E+00    1.8749E+01    7.4998E+00    1.0463E+01   
 1.1454E+01    5.0291E+01    5.9120E+01    2.3523E+01    1.8924E+01    1.6120E+01    7.6243E+01    5.5349E+01    1.7805E+01    4.8789E+00    1.8749E+01    7.2778E+00    1.0443E+01   
 1.1954E+01    5.0294E+01    5.9120E+01    2.3490E+01    1.8899E+01    1.6049E+01    7.6230E+01    5.5280E+01    1.7805E+01    4.8585E+00    1.8810E+01    7.2778E+00    1.0524E+01   
 1.2455E+01    5.0290E+01    5.9111E+01    2.3501E+01    1.8899E+01    1.6065E+01    7.6249E+01    5.5212E+01    1.7753E+01    4.8382E+00    1.8871E+01    7.4628E+00    1.0423E+01   
 1.3068E+01    5.0280E+01    5.9128E+01    2.3508E+01    1.8869E+01    1.6022E+01    7.6292E+01    5.5125E+01    1.7705E+01    4.8178E+00    1.8891E+01    7.3941E+00    1.0443E+01   
 1.3568E+01    5.0280E+01    5.9123E+01    2.3555E+01    1.8879E+01    1.6003E+01    7.6331E+01    5.5139E+01    1.7656E+01    4.8178E+00    1.8891E+01    7.3148E+00    1.0403E+01   
 1.4069E+01    5.0281E+01    5.9141E+01    2.3556E+01    1.8842E+01    1.5962E+01    7.6331E+01    5.5060E+01    1.7592E+01    4.7974E+00    1.8790E+01    7.4734E+00    1.0504E+01   
 1.4570E+01    5.0290E+01    5.9141E+01    2.3556E+01    1.8762E+01    1.5939E+01    7.6366E+01    5.4995E+01    1.7558E+01    4.8382E+00    1.8708E+01    7.5527E+00    1.0504E+01   
 1.5155E+01    5.0292E+01    5.9130E+01    2.3539E+01    1.8798E+01    1.5889E+01    7.6365E+01    5.4929E+01    1.7508E+01    4.7770E+00    1.8728E+01    7.3465E+00    1.0443E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
