# Run number  3 on Wed 2026-05-27T10:05:23 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.0630E-01    5.1599E+01    5.9368E+01    2.5407E+01    1.9662E+01    1.7219E+01    7.7436E+01    5.6202E+01    1.8678E+01    4.9808E+00    1.8912E+01    7.3571E+00    1.2074E+01   
 8.5494E-01    5.1585E+01    5.9363E+01    2.5407E+01    1.9737E+01    1.7154E+01    7.7473E+01    5.6216E+01    1.8630E+01    4.9604E+00    1.8953E+01    7.5209E+00    1.2039E+01   
 1.3754E+00    5.1600E+01    5.9368E+01    2.5580E+01    1.9679E+01    1.7154E+01    7.7495E+01    5.6131E+01    1.8551E+01    4.9604E+00    1.8932E+01    7.3518E+00    1.2056E+01   
 1.8756E+00    5.1586E+01    5.9397E+01    2.5512E+01    1.9671E+01    1.7118E+01    7.7565E+01    5.6079E+01    1.8502E+01    4.9604E+00    1.8953E+01    7.3677E+00    1.2039E+01   
 2.3758E+00    5.1586E+01    5.9397E+01    2.5434E+01    1.9671E+01    1.7069E+01    7.7599E+01    5.6016E+01    1.8502E+01    4.9604E+00    1.8953E+01    7.3782E+00    1.2074E+01   
 2.8761E+00    5.1603E+01    5.9399E+01    2.5361E+01    1.9623E+01    1.7025E+01    7.7599E+01    5.5949E+01    1.8439E+01    4.9400E+00    1.9116E+01    7.5051E+00    1.2056E+01   
 3.3764E+00    5.1603E+01    5.9389E+01    2.5361E+01    1.9580E+01    1.6970E+01    7.7629E+01    5.5949E+01    1.8398E+01    4.9604E+00    1.9034E+01    7.6161E+00    1.2056E+01   
 3.8767E+00    5.1613E+01    5.9413E+01    2.5237E+01    1.9638E+01    1.6985E+01    7.7666E+01    5.5883E+01    1.8338E+01    4.9604E+00    1.8891E+01    7.3624E+00    1.2056E+01   
 4.3769E+00    5.1598E+01    5.9413E+01    2.5241E+01    1.9614E+01    1.6945E+01    7.7695E+01    5.5796E+01    1.8237E+01    4.9196E+00    1.8993E+01    7.5949E+00    1.2056E+01   
 4.8772E+00    5.1596E+01    5.9407E+01    2.5188E+01    1.9614E+01    1.6913E+01    7.7714E+01    5.5741E+01    1.8237E+01    4.9196E+00    1.8912E+01    7.6108E+00    1.2074E+01   
 5.3777E+00    5.1605E+01    5.9417E+01    2.5212E+01    1.9531E+01    1.6871E+01    7.7714E+01    5.5673E+01    1.8188E+01    4.9196E+00    1.9116E+01    7.5051E+00    1.2109E+01   
 5.8780E+00    5.1605E+01    5.9416E+01    2.5212E+01    1.9502E+01    1.6845E+01    7.7742E+01    5.5673E+01    1.8132E+01    4.9196E+00    1.8973E+01    7.3730E+00    1.2091E+01   
 6.3783E+00    5.1615E+01    5.9418E+01    2.5275E+01    1.9414E+01    1.6845E+01    7.7790E+01    5.5610E+01    1.8080E+01    4.9196E+00    1.8912E+01    7.3360E+00    1.2056E+01   
 6.8786E+00    5.1635E+01    5.9433E+01    2.5296E+01    1.9412E+01    1.6842E+01    7.7829E+01    5.5569E+01    1.8027E+01    4.8993E+00    1.8953E+01    7.6002E+00    1.2056E+01   
 7.3789E+00    5.1620E+01    5.9417E+01    2.5226E+01    1.9412E+01    1.6844E+01    7.7852E+01    5.5503E+01    1.8027E+01    4.8993E+00    1.9116E+01    7.3360E+00    1.2091E+01   
 7.8792E+00    5.1620E+01    5.9405E+01    2.5268E+01    1.9336E+01    1.6858E+01    7.7852E+01    5.5441E+01    1.7966E+01    4.8585E+00    1.8912E+01    7.3782E+00    1.2109E+01   
 8.3795E+00    5.1620E+01    5.9400E+01    2.5268E+01    1.9299E+01    1.6876E+01    7.7899E+01    5.5441E+01    1.7905E+01    4.8789E+00    1.9095E+01    7.3835E+00    1.2039E+01   
 8.9626E+00    5.1602E+01    5.9389E+01    2.5277E+01    1.9293E+01    1.6931E+01    7.7903E+01    5.5393E+01    1.7850E+01    4.8585E+00    1.8932E+01    7.3571E+00    1.2074E+01   
 9.4629E+00    5.1607E+01    5.9400E+01    2.5288E+01    1.9206E+01    1.6931E+01    7.7922E+01    5.5322E+01    1.7818E+01    4.8178E+00    1.9055E+01    7.5474E+00    1.2074E+01   
 9.9634E+00    5.1598E+01    5.9400E+01    2.5287E+01    1.9206E+01    1.6987E+01    7.7942E+01    5.5275E+01    1.7818E+01    4.8382E+00    1.8993E+01    7.3782E+00    1.2091E+01   
 1.0464E+01    5.1606E+01    5.9387E+01    2.5221E+01    1.9135E+01    1.7040E+01    7.7942E+01    5.5221E+01    1.7773E+01    4.8382E+00    1.9055E+01    7.3201E+00    1.2091E+01   
 1.1074E+01    5.1611E+01    5.9380E+01    2.5210E+01    1.9172E+01    1.7102E+01    7.7927E+01    5.5166E+01    1.7700E+01    4.8178E+00    1.9075E+01    7.5421E+00    1.2056E+01   
 1.1574E+01    5.1611E+01    5.9364E+01    2.5210E+01    1.9060E+01    1.7174E+01    7.7930E+01    5.5166E+01    1.7633E+01    4.8382E+00    1.8871E+01    7.5579E+00    1.2091E+01   
 1.2074E+01    5.1623E+01    5.9378E+01    2.5264E+01    1.9060E+01    1.7174E+01    7.7937E+01    5.5127E+01    1.7607E+01    4.8382E+00    1.8830E+01    7.4364E+00    1.2074E+01   
 1.2575E+01    5.1621E+01    5.9373E+01    2.5296E+01    1.9048E+01    1.7249E+01    7.7976E+01    5.5104E+01    1.7575E+01    4.8178E+00    1.9014E+01    7.3095E+00    1.2109E+01   
 1.3194E+01    5.1610E+01    5.9373E+01    2.5262E+01    1.9072E+01    1.7334E+01    7.7981E+01    5.5071E+01    1.7583E+01    4.8178E+00    1.8891E+01    7.5474E+00    1.2074E+01   
 1.3694E+01    5.1626E+01    5.9360E+01    2.5250E+01    1.9072E+01    1.7413E+01    7.7996E+01    5.5069E+01    1.7583E+01    4.7770E+00    1.8790E+01    7.4417E+00    1.2109E+01   
 1.4195E+01    5.1600E+01    5.9334E+01    2.5185E+01    1.9068E+01    1.7484E+01    7.7996E+01    5.5067E+01    1.7576E+01    4.7770E+00    1.8790E+01    7.2672E+00    1.2074E+01   
