# Run number  4 on Mon 2026-05-25T12:05:02 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.7185E-01    5.3157E+01    6.0593E+01    2.4362E+01    1.9872E+01    1.8777E+01    8.0005E+01    5.8431E+01    1.9336E+01    5.0623E+00    1.9320E+01    7.7535E+00    1.2195E+01   
 9.4862E-01    5.3171E+01    6.0616E+01    2.4350E+01    1.9864E+01    1.8638E+01    7.9975E+01    5.8399E+01    1.9304E+01    5.0419E+00    1.9320E+01    7.4787E+00    1.2195E+01   
 1.4489E+00    5.3168E+01    6.0631E+01    2.4333E+01    1.9866E+01    1.8490E+01    7.9946E+01    5.8399E+01    1.9303E+01    5.0623E+00    1.9442E+01    7.6161E+00    1.2195E+01   
 1.9491E+00    5.3177E+01    6.0659E+01    2.4333E+01    1.9871E+01    1.8348E+01    7.9946E+01    5.8341E+01    1.9258E+01    5.0419E+00    1.9361E+01    7.4892E+00    1.2178E+01   
 2.4493E+00    5.3179E+01    6.0659E+01    2.4316E+01    1.9851E+01    1.8228E+01    7.9927E+01    5.8341E+01    1.9248E+01    5.0419E+00    1.9361E+01    7.6531E+00    1.2213E+01   
 2.9497E+00    5.3182E+01    6.0678E+01    2.4275E+01    1.9851E+01    1.8228E+01    7.9897E+01    5.8275E+01    1.9196E+01    5.0215E+00    1.9565E+01    7.7588E+00    1.2213E+01   
 3.4500E+00    5.3182E+01    6.0694E+01    2.4353E+01    1.9846E+01    1.8115E+01    7.9884E+01    5.8221E+01    1.9196E+01    5.0419E+00    1.9503E+01    7.4839E+00    1.2247E+01   
 3.9502E+00    5.3171E+01    6.0721E+01    2.4439E+01    1.9876E+01    1.7974E+01    7.9869E+01    5.8164E+01    1.9128E+01    5.0623E+00    1.9483E+01    7.6055E+00    1.2247E+01   
 4.4505E+00    5.3172E+01    6.0748E+01    2.4439E+01    1.9876E+01    1.7869E+01    7.9869E+01    5.8086E+01    1.9101E+01    5.0419E+00    1.9401E+01    7.4787E+00    1.2247E+01   
 4.9509E+00    5.3182E+01    6.0748E+01    2.4438E+01    1.9797E+01    1.7779E+01    7.9870E+01    5.8086E+01    1.9073E+01    5.0419E+00    1.9544E+01    7.7588E+00    1.2247E+01   
 5.4511E+00    5.3183E+01    6.0757E+01    2.4411E+01    1.9797E+01    1.7779E+01    7.9917E+01    5.8026E+01    1.8992E+01    5.0419E+00    1.9626E+01    7.5844E+00    1.2213E+01   
 5.9514E+00    5.3183E+01    6.0769E+01    2.4313E+01    1.9822E+01    1.7689E+01    7.9931E+01    5.7984E+01    1.8992E+01    5.0419E+00    1.9503E+01    7.4839E+00    1.2195E+01   
 6.4517E+00    5.3182E+01    6.0769E+01    2.4259E+01    1.9749E+01    1.7612E+01    7.9960E+01    5.7899E+01    1.8951E+01    5.0419E+00    1.9503E+01    7.6267E+00    1.2213E+01   
 6.9520E+00    5.3182E+01    6.0782E+01    2.4259E+01    1.9722E+01    1.7521E+01    7.9960E+01    5.7841E+01    1.8897E+01    5.0215E+00    1.9442E+01    7.4945E+00    1.2195E+01   
 7.4523E+00    5.3187E+01    6.0782E+01    2.4186E+01    1.9717E+01    1.7440E+01    8.0001E+01    5.7841E+01    1.8830E+01    5.0011E+00    1.9667E+01    7.4998E+00    1.2247E+01   
 7.9526E+00    5.3194E+01    6.0812E+01    2.4164E+01    1.9733E+01    1.7456E+01    8.0037E+01    5.7791E+01    1.8803E+01    5.0011E+00    1.9667E+01    7.4945E+00    1.2264E+01   
 8.4529E+00    5.3194E+01    6.0818E+01    2.4166E+01    1.9701E+01    1.7366E+01    8.0073E+01    5.7692E+01    1.8803E+01    4.9808E+00    1.9503E+01    7.4839E+00    1.2213E+01   
 8.9531E+00    5.3201E+01    6.0831E+01    2.4166E+01    1.9717E+01    1.7277E+01    8.0112E+01    5.7605E+01    1.8740E+01    5.0215E+00    1.9442E+01    7.7112E+00    1.2143E+01   
 9.4534E+00    5.3194E+01    6.0831E+01    2.4183E+01    1.9702E+01    1.7220E+01    8.0112E+01    5.7605E+01    1.8689E+01    5.0011E+00    1.9483E+01    7.7429E+00    1.2178E+01   
 9.9537E+00    5.3201E+01    6.0834E+01    2.4199E+01    1.9595E+01    1.7157E+01    8.0120E+01    5.7527E+01    1.8629E+01    4.9808E+00    1.9646E+01    7.6795E+00    1.2195E+01   
 1.0454E+01    5.3202E+01    6.0842E+01    2.4175E+01    1.9595E+01    1.7157E+01    8.0171E+01    5.7441E+01    1.8571E+01    4.9808E+00    1.9503E+01    7.7694E+00    1.2213E+01   
 1.1003E+01    5.3217E+01    6.0859E+01    2.4160E+01    1.9523E+01    1.7074E+01    8.0176E+01    5.7350E+01    1.8555E+01    4.9604E+00    1.9605E+01    7.4787E+00    1.2230E+01   
 1.1508E+01    5.3207E+01    6.0866E+01    2.4168E+01    1.9510E+01    1.7046E+01    8.0193E+01    5.7297E+01    1.8522E+01    4.9604E+00    1.9667E+01    7.7535E+00    1.2161E+01   
 1.2013E+01    5.3206E+01    6.0848E+01    2.4152E+01    1.9478E+01    1.6989E+01    8.0193E+01    5.7231E+01    1.8447E+01    4.9400E+00    1.9463E+01    7.4734E+00    1.2230E+01   
 1.2518E+01    5.3208E+01    6.0848E+01    2.4149E+01    1.9468E+01    1.6925E+01    8.0222E+01    5.7231E+01    1.8401E+01    4.9196E+00    1.9667E+01    7.6267E+00    1.2213E+01   
 1.3091E+01    5.3198E+01    6.0870E+01    2.4146E+01    1.9398E+01    1.6885E+01    8.0259E+01    5.7177E+01    1.8360E+01    4.9400E+00    1.9687E+01    7.7376E+00    1.2178E+01   
 1.3593E+01    5.3200E+01    6.0870E+01    2.4129E+01    1.9398E+01    1.6885E+01    8.0287E+01    5.7070E+01    1.8309E+01    4.9196E+00    1.9483E+01    7.6637E+00    1.2178E+01   
 1.4096E+01    5.3200E+01    6.0873E+01    2.4137E+01    1.9387E+01    1.6827E+01    8.0273E+01    5.7004E+01    1.8309E+01    4.9400E+00    1.9463E+01    7.6584E+00    1.2195E+01   
 1.4598E+01    5.3212E+01    6.0874E+01    2.4137E+01    1.9420E+01    1.6777E+01    8.0273E+01    5.6945E+01    1.8257E+01    4.8993E+00    1.9565E+01    7.4892E+00    1.2178E+01   
 1.5176E+01    5.3187E+01    6.0862E+01    2.4119E+01    1.9294E+01    1.6730E+01    8.0288E+01    5.6889E+01    1.8182E+01    4.8993E+00    1.9544E+01    7.4998E+00    1.2161E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 1.5678E+01    5.3192E+01    6.0862E+01    2.4109E+01    1.9315E+01    1.6696E+01    8.0279E+01    5.6889E+01    1.8135E+01    4.9196E+00    1.9524E+01    7.5632E+00    1.2195E+01   
 1.6180E+01    5.3190E+01    6.0865E+01    2.4069E+01    1.9315E+01    1.6660E+01    8.0258E+01    5.6834E+01    1.8068E+01    4.8993E+00    1.9524E+01    7.7376E+00    1.2195E+01   
 1.6683E+01    5.3205E+01    6.0871E+01    2.4052E+01    1.9269E+01    1.6644E+01    8.0236E+01    5.6751E+01    1.8043E+01    4.8789E+00    1.9585E+01    7.4892E+00    1.2178E+01   
 1.7257E+01    5.3221E+01    6.0881E+01    2.4067E+01    1.9320E+01    1.6604E+01    8.0209E+01    5.6689E+01    1.8043E+01    4.8789E+00    1.9605E+01    7.7271E+00    1.2213E+01   
 1.7759E+01    5.3233E+01    6.0888E+01    2.4082E+01    1.9366E+01    1.6584E+01    8.0209E+01    5.6627E+01    1.7993E+01    4.8585E+00    1.9565E+01    7.6689E+00    1.2247E+01   
 1.8263E+01    5.3231E+01    6.0888E+01    2.4069E+01    1.9311E+01    1.6592E+01    8.0209E+01    5.6542E+01    1.7939E+01    4.8789E+00    1.9463E+01    7.6478E+00    1.2161E+01   
 1.8768E+01    5.3246E+01    6.0903E+01    2.4069E+01    1.9225E+01    1.6601E+01    8.0205E+01    5.6542E+01    1.7884E+01    4.8382E+00    1.9544E+01    7.5897E+00    1.2213E+01   
 1.9345E+01    5.3253E+01    6.0906E+01    2.4090E+01    1.9225E+01    1.6620E+01    8.0203E+01    5.6506E+01    1.7813E+01    4.8585E+00    1.9544E+01    7.6742E+00    1.2195E+01   
 1.9847E+01    5.3267E+01    6.0916E+01    2.4086E+01    1.9257E+01    1.6604E+01    8.0155E+01    5.6434E+01    1.7725E+01    4.8585E+00    1.9728E+01    7.4681E+00    1.2178E+01   
 2.0349E+01    5.3252E+01    6.0913E+01    2.4095E+01    1.9150E+01    1.6653E+01    8.0133E+01    5.6366E+01    1.7725E+01    4.8382E+00    1.9646E+01    7.7324E+00    1.2213E+01   
 2.0851E+01    5.3234E+01    6.0900E+01    2.4080E+01    1.9101E+01    1.6707E+01    8.0133E+01    5.6302E+01    1.7695E+01    4.8178E+00    1.9483E+01    7.4681E+00    1.2230E+01   
 2.1441E+01    5.3242E+01    6.0887E+01    2.4052E+01    1.9062E+01    1.6772E+01    8.0139E+01    5.6276E+01    1.7680E+01    4.8382E+00    1.9524E+01    7.7007E+00    1.2178E+01   
 2.1943E+01    5.3227E+01    6.0872E+01    2.4058E+01    1.9084E+01    1.6849E+01    8.0156E+01    5.6276E+01    1.7654E+01    4.8178E+00    1.9401E+01    7.5209E+00    1.2195E+01   
 2.2445E+01    5.3246E+01    6.0865E+01    2.4030E+01    1.9084E+01    1.6849E+01    8.0167E+01    5.6239E+01    1.7607E+01    4.8178E+00    1.9401E+01    7.7112E+00    1.2230E+01   
 2.2947E+01    5.3246E+01    6.0863E+01    2.4015E+01    1.8994E+01    1.6907E+01    8.0227E+01    5.6199E+01    1.7607E+01    4.8178E+00    1.9503E+01    7.4417E+00    1.2230E+01   
 2.3529E+01    5.3214E+01    6.0865E+01    2.4018E+01    1.8974E+01    1.7003E+01    8.0269E+01    5.6188E+01    1.7579E+01    4.8178E+00    1.9463E+01    7.4311E+00    1.2178E+01   
 2.4033E+01    5.3226E+01    6.0843E+01    2.4018E+01    1.9067E+01    1.7080E+01    8.0269E+01    5.6181E+01    1.7562E+01    4.8178E+00    1.9401E+01    7.7059E+00    1.2195E+01   
 2.4538E+01    5.3246E+01    6.0837E+01    2.4018E+01    1.8928E+01    1.7181E+01    8.0272E+01    5.6179E+01    1.7539E+01    4.7974E+00    1.9422E+01    7.4311E+00    1.2213E+01   
